brand,model,processor_brand,processor_Name,processor_gnrtn,ram_gb,Apps,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,Price
ASUS,Celeron,Intel,5,Missing,4,Cooling,0,1024,Windows,64,0,Casual,15.6,1,No,No,23990
ASUS,VivoBook,Intel,5,10th,4,DDR3,512,0,Windows,64,0,Casual,15.6,1,No,No,37990
ASUS,Vivobook,Intel,A6-9225 Processor,10th,4,DDR3,0,1024,Windows,64,0,Casual,14.1,1,No,No,
HP,Core,Intel,APU Dual,11th,4,DDR3,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,54990
HP,Core,Intel,APU Dual,11th,4,DDR3,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,54990
Lenovo,IdeaPad,Intel,APU Dual,10th,4,DDR3,0,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,35990
HP,15s,AMD,APU Dual,Missing,4,DDR3,256,1024,Windows,64,0,Casual,15.6,1,No,Yes,41999
ASUS,Core,Intel,APU Dual,11th,4,DDR3,256,0,Windows,64,0,ThinNlight,14,0,No,No,34429
DELL,Vostro,Intel,APU Dual,10th,4,DDR3,256,1024,Windows,64,0,ThinNlight,15.6,1,No,Yes,41490
Lenovo,IdeaPad,Intel,APU Dual,10th,4,DDR3,256,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,37990
HP,Core,Intel,Athlon Dual,11th,4,DDR3,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,53990
HP,Ryzen,AMD,Athlon Dual,Missing,4,DDR3,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,37990
HP,Pavilion,AMD,Celeron Dual,Missing,4,DDR3,512,0,Windows,64,4,Casual,15.6,1,No,No,57990
Lenovo,Ideapad,Intel,Celeron Dual,11th,4,DDR4,512,0,Windows,64,0,Casual,14,2,No,Yes,52990
ASUS,VivoBook,Intel,Celeron Dual,11th,4,DDR4,256,0,Windows,32,0,Casual,15.6,1,No,Yes,35990
DELL,Vostro,AMD,Celeron Dual,Missing,4,DDR4,0,1024,Windows,64,0,ThinNlight,14,1,No,Yes,35990
ASUS,VivoBook,Intel,Celeron Dual,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,33980
HP,Pavilion,Intel,Celeron Dual,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,67990
HP,Core,Intel,Celeron Dual,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,39990
APPLE,2020,Apple,Celeron Dual,Missing,4,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,85990
ASUS,VivoBook,Intel,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,29990
acer,Aspire,Intel,Celeron Dual,Missing,4,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,50990
ASUS,VivoBook,Intel,Celeron Dual,10th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,57990
HP,Core,Intel,Celeron Dual,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42990
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,31999
DELL,Vostro,Intel,Celeron Dual,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,39490
DELL,Inspiron,Intel,Celeron Dual,11th,4,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,
MSI,GF63,Intel,Celeron Dual,Missing,4,DDR4,256,1024,Windows,64,4,Casual,15.6,2,No,No,55990
MSI,GF63,Intel,Celeron Dual,10th,4,DDR4,256,1024,Windows,64,4,Casual,15.6,2,No,No,63990
ASUS,TUF,Intel,Celeron Dual,10th,4,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,No,57990
ASUS,Ryzen,AMD,Celeron Dual,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,35990
Lenovo,Ideapad,Intel,Celeron Dual,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,62300
realme,Book(Slim),Intel,Core,11th,4,DDR4,512,0,Windows,64,0,Casual,14,1,No,Yes,52990
acer,Aspire,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,36990
RedmiBook,15,Intel,Core i3,11th,4,DDR4,256,0,Windows,32,0,ThinNlight,15.6,1,No,No,38990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,1024,Windows,32,0,Casual,15.6,1,No,Yes,50990
ASUS,Vivobook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,61990
MSI,GF65,Intel,Core i3,10th,4,DDR4,1024,0,Windows,64,6,Casual,15.6,2,No,No,84990
DELL,Inspiron,AMD,Core i3,Missing,4,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,39490
ASUS,Vivobook,Intel,Core i3,10th,4,DDR4,256,1024,Windows,64,4,Gaming,15.6,0,No,No,55990
HP,Pavilion,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,14,1,Yes,Yes,53990
DELL,Vostro,AMD,Core i3,Missing,4,DDR4,256,0,Windows,64,0,Casual,14,1,No,Yes,41990
Lenovo,Core,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,52990
acer,Aspire,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,38990
realme,Book,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,Yes,46990
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,35990
Lenovo,IdeaPad,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,56990
Lenovo,IdeaPad,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,2,No,Yes,51990
Lenovo,IdeaPad,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,48990
Lenovo,IdeaPad,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,61990
DELL,Inspiron,AMD,Core i3,Missing,4,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,49490
DELL,Inspiron,Intel,Core i3,11th,4,DDR4,0,1024,Windows,64,0,ThinNlight,15.6,0,No,No,42490
acer,Aspire,AMD,Core i3,Missing,4,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,54990
ASUS,VivoBook,AMD,Core i3,Missing,4,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,54990
RedmiBook,15,Intel,Core i3,11th,4,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,No,42990
Lenovo,Legion,AMD,Core i3,Missing,4,DDR4,256,1024,Windows,64,4,Casual,15.6,0,No,No,68500
HP,Ryzen,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,49970
Lenovo,Ideapad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,15.6,2,No,Yes,49490
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990
MSI,Modern,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,Casual,14,0,No,No,47990
HP,Ryzen,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,48990
ASUS,Core,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,37990
ASUS,Vivobook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,14,1,No,Yes,37890
RedmiBook,Pro,Intel,Core i3,11th,4,DDR4,512,0,Windows,32,0,ThinNlight,15.6,1,No,No,48990
HP,Pavilion,AMD,Core i3,Missing,4,DDR4,256,1024,Windows,64,4,Gaming,15.6,1,No,Yes,
APPLE,2020,Apple,Core i3,Missing,4,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,112990
Lenovo,IdeaPad,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,1,No,No,38990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,32,0,Casual,14,1,Yes,Yes,63990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,32,0,Casual,14,1,Yes,Yes,51990
Lenovo,ThinkPad,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,65990
Nokia,PureBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,47990
acer,Swift,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,No,53990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,48990
acer,Aspire,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,52990
APPLE,MacBook,Apple,Core i3,Missing,4,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,149990
acer,Predator,Intel,Core i3,11th,4,DDR4,512,1024,Windows,64,4,Casual,15.6,1,No,No,92990
ASUS,ASUS,AMD,Core i3,Missing,4,DDR4,512,0,Windows,32,4,Gaming,17.3,0,No,No,76990
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,49990
ASUS,ASUS,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,71990
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,37990
ASUS,VivoBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,47990
ASUS,ASUS,Intel,Core i3,11th,4,DDR4,1024,0,Windows,64,4,Gaming,15.6,0,No,No,75990
Nokia,PureBook,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,45990
Lenovo,IdeaPad,Intel,Core i3,10th,4,DDR4,512,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,48490
ASUS,ASUS,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,4,Gaming,17.3,0,No,No,72990
ASUS,VivoBook,AMD,Core i3,Missing,4,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,54990
MSI,Katana,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,76990
APPLE,MacBook,Apple,Core i3,Missing,4,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,104990
MSI,GF65,Intel,Core i3,Missing,4,DDR4,512,0,Windows,64,6,Casual,15.6,2,No,No,76990
acer,Aspire,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,57990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,52990
DELL,Vostro,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,ThinNlight,14.96,1,No,Yes,41990
Lenovo,IdeaPad,AMD,Core i3,Missing,4,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,52990
ASUS,TUF,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,6,Gaming,15.6,1,No,Yes,89990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,512,0,Windows,64,0,Casual,14,1,No,No,42990
APPLE,2020,Apple,Core i3,Missing,4,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,125990
ASUS,VivoBook,Intel,Core i3,11th,4,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,No,45990
MSI,GF63,Intel,Core i3,10th,4,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,59990
MSI,Katana,Intel,Core i3,Missing,4,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,86990
ASUS,Zenbook,Intel,Core i3,11th,4,DDR4,1024,0,Windows,64,2,Casual,14,1,Yes,Yes,104990
APPLE,2020,Apple,Core i3,Missing,4,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,103990
acer,Predator,Intel,Core i3,11th,4,DDR4,512,1024,Windows,32,6,Casual,15.6,1,No,No,119990
APPLE,2020,Apple,Core i3,Missing,5,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,112990
APPLE,2020,Apple,Core i3,Missing,8,DDR4,512,0,Mac,64,0,Casual,13.3,1,No,No,101990
ASUS,Pentium,Intel,Core i3,Missing,8,DDR4,0,1024,Windows,64,0,Casual,15.6,0,No,No,27990
HP,Celeron,Intel,Core i3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,32490
DELL,Inspiron,AMD,Core i3,Missing,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,0,No,No,36990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,1,No,No,57990
Lenovo,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,No,38990
HP,Ryzen,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,ThinNlight,14,0,No,No,43490
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,1,No,No,39990
ASUS,TUF,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,65990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,71990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,0,Windows,64,0,ThinNlight,15.6,0,No,No,42490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,15.6,0,No,No,44490
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14.96,0,No,No,45990
acer,Nitro,AMD,Core i3,Missing,8,DDR4,0,0,Missing,32,4,Casual,0,0,No,No,59990
ASUS,Vivobook,Intel,Core i3,11th,8,DDR4,256,1024,Windows,64,0,Casual,14.1,1,No,Yes,41890
acer,Aspire,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,43990
MSI,Pulse,Intel,Core i3,Missing,8,DDR4,0,0,Missing,32,6,Casual,0,0,No,No,109990
APPLE,MacBook,Apple,Core i3,Missing,8,DDR4,256,0,Mac,64,0,Casual,13.3,1,No,No,132990
Lenovo,Ideapad,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Gaming,15.6,0,No,No,59490
HP,Core,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,42490
MSI,Alpha,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,64,8,Casual,15.6,1,No,No,99990
ASUS,ROG,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,64,4,Casual,14,0,No,No,72990
DELL,Inspiron,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,Casual,14,0,Yes,No,71890
lenovo,Ideapad,Intel,Core i3,Missing,8,DDR4,0,0,Missing,32,0,Casual,0,0,No,No,72990
MSI,GF63,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,4,Casual,15.6,2,No,No,79990
ASUS,ROG,AMD,Core i3,Missing,8,DDR4,1024,0,Windows,64,6,Casual,15.6,1,No,No,135990
Lenovo,IdeaPad,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,68990
MSI,Bravo,AMD,Core i3,Missing,8,DDR4,512,0,Windows,64,4,Casual,15.6,0,No,No,64990
Infinix,INBook,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14,0,No,No,32990
ASUS,ZenBook,Intel,Core i3,11th,8,DDR4,1024,0,Windows,64,0,Casual,14,1,Yes,No,134990
acer,Nitro,AMD,Core i3,Missing,8,DDR4,256,1024,Windows,64,6,Casual,15.6,1,No,No,89990
Lenovo,IdeaPad,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,0,No,No,64990
Mi,Notebook,Intel,Core i3,10th,8,DDR4,512,0,Windows,64,2,Casual,14,1,No,No,59490
HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,43970
